fast,slow,signal,profit_factor,total_return,sharpe_ratio,win_rate
11,28,6,0.9760335219816232,-0.03725731806366522,-0.5884526346795175,0.49270428015564205
11,28,8,0.9616905854184945,-0.059950604315660704,-0.9471530552497534,0.49375506893755067
11,28,10,0.9862501342104647,-0.02124784914692359,-0.3356765148113533,0.49748499107577476
11,28,12,0.9752948151659226,-0.038207416691908504,-0.6044597120609848,0.49714472181432534
11,28,14,0.9616064845673429,-0.05979122922299471,-0.9459674189964757,0.49600261054005546
11,30,6,0.9752051792123723,-0.03856119089989992,-0.6090476134882139,0.4920557717250324
11,30,8,0.9674933328366238,-0.050719823407938174,-0.8013000606699345,0.4955393349553934
11,30,10,0.9770944288600918,-0.03556577449087595,-0.5618727810703804,0.4965125709651257
11,30,12,0.978968985810788,-0.032624193623650675,-0.5153991663591676,0.4978102189781022
11,30,14,0.9669987974263363,-0.05147732263983747,-0.813402491731752,0.4961856841421847
11,32,6,0.9722767908390476,-0.043179471002761864,-0.6819954967522484,0.49335278858625164
11,32,8,0.9726864191177492,-0.042482578217069085,-0.6712631952767585,0.49732186333387435
11,32,10,0.9793440871125407,-0.03201941364691426,-0.505927581211452,0.4966726180814803
11,32,12,0.9730022209567732,-0.04198466999156431,-0.6633952185853846,0.4969972407076773
11,32,14,0.967326489545694,-0.05095767885396364,-0.8051906213930391,0.49634799545528324
11,34,6,0.9683268321454886,-0.04937243752514863,-0.7801394022166123,0.49293945788021426
11,34,8,0.9714871827781497,-0.04437480437811652,-0.7011644606406695,0.4961856841421847
11,34,10,0.9826049424299855,-0.026920304334568303,-0.42535569545430596,0.49764648596007144
11,34,12,0.9549223313194987,-0.07074149843628487,-1.1178700578653786,0.49626623376623374
11,34,14,0.975852427115086,-0.037332276785758615,-0.5906163143077116,0.4964099216710183
11,36,6,0.975423156442108,-0.03817299575463685,-0.6031635628309313,0.494724882324298
11,36,8,0.9820958790356351,-0.0277121780064395,-0.43787459095640535,0.49642857142857144
11,36,10,0.9785926199842839,-0.0331932249309019,-0.5244831333426669,0.49707792207792206
11,36,12,0.9635043877706633,-0.056780638070254574,-0.8983298085752888,0.495349975526187
11,36,14,0.9662305128993459,-0.052463290900106166,-0.8300202796238594,0.49445169712793735
11,38,6,0.9668742411737415,-0.05166917867481951,-0.816446427991302,0.4941558441558442
11,38,8,0.9791795934412645,-0.03227351858228442,-0.5099503029786421,0.4967532467532468
11,38,10,0.9810099635528837,-0.029284015604283432,-0.4632814400214836,0.49730788056779246
